timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,dns_query,alerts
2026-08-19T23:39:27.719364+00:00,10.0.1.99,52392,10.0.2.10,8080,TCP,54,,
2026-08-19T23:39:27.719757+00:00,10.0.1.47,44979,172.16.0.10,443,TCP,91,,
2026-08-19T23:39:27.720022+00:00,10.0.1.99,41104,10.0.2.10,3389,TCP,54,,Suspicious port: RDP (common ransomware entry point)
2026-08-19T23:39:27.720408+00:00,10.0.1.11,59708,172.16.0.10,443,TCP,233,,
2026-08-19T23:39:27.720692+00:00,10.0.1.42,47750,172.16.0.10,443,TCP,77,,
2026-08-19T23:39:27.720942+00:00,10.0.1.99,54353,10.0.2.10,25,TCP,54,,
2026-08-19T23:39:27.721270+00:00,10.0.1.29,44505,172.16.0.10,443,TCP,127,,
2026-08-19T23:39:27.721586+00:00,10.0.1.33,44634,172.16.0.10,443,TCP,110,,
2026-08-19T23:39:27.721848+00:00,10.0.1.99,55868,10.0.2.10,80,TCP,54,,
2026-08-19T23:39:27.722056+00:00,10.0.1.22,52897,172.16.0.10,443,TCP,250,,
2026-08-19T23:39:27.722392+00:00,10.0.1.99,41047,10.0.2.10,23,TCP,54,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-19T23:39:27.722781+00:00,10.0.1.99,55826,10.0.2.10,445,TCP,54,,Suspicious port: SMB (common lateral-movement target)
2026-08-19T23:39:27.723063+00:00,10.0.1.30,52000,10.0.2.5,23,TCP,54,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-19T23:39:27.723405+00:00,10.0.1.22,51000,172.16.0.20,80,TCP,193,,Possible plaintext credentials in HTTP payload
2026-08-19T23:39:27.723776+00:00,10.0.1.23,41345,172.16.0.10,443,TCP,121,,
2026-08-19T23:39:27.724075+00:00,10.0.1.30,52000,10.0.2.5,23,TCP,88,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-19T23:39:27.724403+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,78,outlook.office.com.,
2026-08-19T23:39:27.724761+00:00,10.0.1.18,53039,172.16.0.10,443,TCP,154,,
2026-08-19T23:39:27.725131+00:00,10.0.1.99,45321,10.0.2.10,139,TCP,54,,
2026-08-19T23:39:27.731268+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,89,internal-banking-portal.local.,
2026-08-19T23:39:27.731637+00:00,10.0.1.22,56238,172.16.0.10,443,TCP,221,,
2026-08-19T23:39:27.731966+00:00,10.0.1.48,43395,172.16.0.10,443,TCP,224,,
2026-08-19T23:39:27.732270+00:00,10.0.1.99,46363,10.0.2.10,135,TCP,54,,Suspicious port: MS-RPC (common exploitation target); Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
2026-08-19T23:39:27.732782+00:00,10.0.1.17,45902,172.16.0.10,443,TCP,214,,
2026-08-19T23:39:27.733015+00:00,10.0.1.46,55180,172.16.0.10,443,TCP,188,,
2026-08-19T23:39:27.733266+00:00,10.0.1.99,43962,10.0.2.10,21,TCP,54,,Suspicious port: FTP (unencrypted file transfer); Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
2026-08-19T23:39:27.733781+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,76,sap-erp.internal.,
2026-08-19T23:39:27.734067+00:00,10.0.1.32,49882,172.16.0.10,443,TCP,216,,
2026-08-19T23:39:27.734354+00:00,10.0.1.32,47061,172.16.0.10,443,TCP,86,,
2026-08-19T23:39:27.734632+00:00,10.0.1.28,58719,172.16.0.10,443,TCP,97,,
2026-08-19T23:39:27.734901+00:00,10.0.1.99,43252,10.0.2.10,22,TCP,54,,Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
