timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,dns_query,alerts
2026-08-15T23:56:33.675510+00:00,10.0.1.99,52392,10.0.2.10,8080,TCP,54,,
2026-08-15T23:56:33.675666+00:00,10.0.1.47,44979,172.16.0.10,443,TCP,91,,
2026-08-15T23:56:33.675755+00:00,10.0.1.99,41104,10.0.2.10,3389,TCP,54,,Suspicious port: RDP (common ransomware entry point)
2026-08-15T23:56:33.675835+00:00,10.0.1.11,59708,172.16.0.10,443,TCP,233,,
2026-08-15T23:56:33.675905+00:00,10.0.1.42,47750,172.16.0.10,443,TCP,77,,
2026-08-15T23:56:33.675968+00:00,10.0.1.99,54353,10.0.2.10,25,TCP,54,,
2026-08-15T23:56:33.676021+00:00,10.0.1.29,44505,172.16.0.10,443,TCP,127,,
2026-08-15T23:56:33.676083+00:00,10.0.1.33,44634,172.16.0.10,443,TCP,110,,
2026-08-15T23:56:33.676142+00:00,10.0.1.99,55868,10.0.2.10,80,TCP,54,,
2026-08-15T23:56:33.676192+00:00,10.0.1.22,52897,172.16.0.10,443,TCP,250,,
2026-08-15T23:56:33.676255+00:00,10.0.1.99,41047,10.0.2.10,23,TCP,54,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-15T23:56:33.676312+00:00,10.0.1.99,55826,10.0.2.10,445,TCP,54,,Suspicious port: SMB (common lateral-movement target)
2026-08-15T23:56:33.676367+00:00,10.0.1.30,52000,10.0.2.5,23,TCP,54,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-15T23:56:33.676422+00:00,10.0.1.22,51000,172.16.0.20,80,TCP,193,,Possible plaintext credentials in HTTP payload
2026-08-15T23:56:33.676488+00:00,10.0.1.23,41345,172.16.0.10,443,TCP,121,,
2026-08-15T23:56:33.676576+00:00,10.0.1.30,52000,10.0.2.5,23,TCP,88,,Suspicious port: Telnet (unencrypted remote admin)
2026-08-15T23:56:33.676655+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,78,outlook.office.com.,
2026-08-15T23:56:33.676784+00:00,10.0.1.18,53039,172.16.0.10,443,TCP,154,,
2026-08-15T23:56:33.676853+00:00,10.0.1.99,45321,10.0.2.10,139,TCP,54,,
2026-08-15T23:56:33.676905+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,89,internal-banking-portal.local.,
2026-08-15T23:56:33.676969+00:00,10.0.1.22,56238,172.16.0.10,443,TCP,221,,
2026-08-15T23:56:33.677031+00:00,10.0.1.48,43395,172.16.0.10,443,TCP,224,,
2026-08-15T23:56:33.677090+00:00,10.0.1.99,46363,10.0.2.10,135,TCP,54,,Suspicious port: MS-RPC (common exploitation target); Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
2026-08-15T23:56:33.677157+00:00,10.0.1.17,45902,172.16.0.10,443,TCP,214,,
2026-08-15T23:56:33.677218+00:00,10.0.1.46,55180,172.16.0.10,443,TCP,188,,
2026-08-15T23:56:33.677278+00:00,10.0.1.99,43962,10.0.2.10,21,TCP,54,,Suspicious port: FTP (unencrypted file transfer); Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
2026-08-15T23:56:33.677344+00:00,10.0.1.15,53321,10.0.0.1,53,DNS,76,sap-erp.internal.,
2026-08-15T23:56:33.677403+00:00,10.0.1.32,49882,172.16.0.10,443,TCP,216,,
2026-08-15T23:56:33.677461+00:00,10.0.1.32,47061,172.16.0.10,443,TCP,86,,
2026-08-15T23:56:33.677517+00:00,10.0.1.28,58719,172.16.0.10,443,TCP,97,,
2026-08-15T23:56:33.677602+00:00,10.0.1.99,43252,10.0.2.10,22,TCP,54,,Possible port scan from 10.0.1.99 (>= 8 ports in 10s)
